epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,170.312,0.22816,4.29375,0.99666,0.0082,0.99167,0.01752,0.01741,0.20236,3.25719,0.48827,0.00332155,0.00332155,0.00332155
2,338.199,0.16718,3.29577,0.91243,0.10908,0.33062,0.1022,0.09898,0.2442,3.17701,0.51337,0.00662195,0.00662195,0.00662195
3,506.069,0.19262,2.90231,0.91749,0.26264,0.15888,0.03677,0.03418,0.31011,4.2453,0.63358,0.00988934,0.00988934,0.00988934
4,672.899,0.18624,2.76276,0.91549,0.15822,0.27245,0.11052,0.10549,0.22621,3.10719,0.49536,0.0098515,0.0098515,0.0098515
5,840.286,0.15312,2.51536,0.90341,0.17633,0.2759,0.14235,0.13594,0.16535,2.9149,0.42436,0.009802,0.009802,0.009802
6,1008.8,0.13348,2.32957,0.89563,0.21107,0.34154,0.19427,0.18981,0.2062,2.61662,0.48656,0.0097525,0.0097525,0.0097525
7,1176.09,inf,2.2254,0.89392,0.34559,0.43849,0.36022,0.34236,0.22865,1.89619,0.47541,0.009703,0.009703,0.009703
8,1343.46,0.11373,2.13444,0.89126,0.29359,0.41163,0.30882,0.30485,0.14939,2.13469,0.41012,0.0096535,0.0096535,0.0096535
9,1510.74,0.1073,2.08456,0.88815,0.34802,0.45717,0.37289,0.36869,0.14742,1.88793,0.4077,0.009604,0.009604,0.009604
10,1677.44,0.10378,2.03372,0.88728,0.39339,0.49122,0.42589,0.41479,0.18061,1.70538,0.44708,0.0095545,0.0095545,0.0095545
11,1844.78,0.09799,1.98574,0.88526,0.4115,0.44508,0.41216,0.40776,0.12249,1.74249,0.37032,0.009505,0.009505,0.009505
12,2011.62,0.09576,1.93352,0.88546,0.48197,0.54392,0.54192,0.53067,0.13395,1.39745,0.39254,0.0094555,0.0094555,0.0094555
13,2178.67,0.09169,1.90878,0.88264,0.48468,0.55468,0.54041,0.53592,0.108,1.40081,0.36047,0.009406,0.009406,0.009406
14,2346.88,0.09122,1.89401,0.88369,0.45433,0.54524,0.5259,0.5195,0.11056,1.43237,0.36651,0.0093565,0.0093565,0.0093565
15,2516.51,0.08614,1.86209,0.8823,0.5039,0.50167,0.53333,0.52775,0.14769,1.49045,0.40561,0.009307,0.009307,0.009307
16,2682.74,0.08553,1.84157,0.88047,0.52483,0.60857,0.60764,0.59734,0.11883,1.25244,0.3742,0.0092575,0.0092575,0.0092575
17,2848.86,0.08318,1.82231,0.88151,0.55121,0.61253,0.62746,0.6209,0.12062,1.18511,0.37306,0.009208,0.009208,0.009208
18,3014.77,0.08407,1.79985,0.88317,0.59021,0.60811,0.65501,0.64744,0.11363,1.12095,0.37187,0.0091585,0.0091585,0.0091585
19,3181.49,0.08232,1.78448,0.88161,0.55623,0.56652,0.60486,0.60152,0.09062,1.23816,0.33699,0.009109,0.009109,0.009109
20,3348.31,0.07879,1.75393,0.87894,0.59389,0.59173,0.64223,0.63689,0.09587,1.16865,0.35289,0.0090595,0.0090595,0.0090595
21,3514.47,0.07936,1.74611,0.8802,0.60698,0.61497,0.66126,0.6557,0.11228,1.09978,0.3674,0.00901,0.00901,0.00901
22,3680.57,0.07732,1.73476,0.87898,0.60922,0.62934,0.66726,0.66197,0.09465,1.08713,0.34816,0.0089605,0.0089605,0.0089605
23,3847.92,0.07791,1.71402,0.88019,0.64609,0.6357,0.69485,0.68928,0.10549,1.00212,0.36184,0.008911,0.008911,0.008911
24,4013.67,0.07625,1.69626,0.87941,0.66662,0.63937,0.71409,0.70951,0.09358,0.96998,0.34713,0.0088615,0.0088615,0.0088615
25,4179.67,0.0739,1.69113,0.87718,0.64643,0.66589,0.71192,0.7074,0.08222,0.96386,0.33606,0.008812,0.008812,0.008812
26,4345.48,0.07312,1.6698,0.87727,0.66506,0.67943,0.73309,0.72721,0.08694,0.90667,0.34213,0.0087625,0.0087625,0.0087625
27,4513.02,0.07241,1.66024,0.8786,0.67071,0.67444,0.73683,0.73151,0.08476,0.90333,0.33559,0.008713,0.008713,0.008713
28,4678.92,0.07227,1.65566,0.8789,0.68738,0.68653,0.74667,0.74124,0.10319,0.88133,0.35176,0.0086635,0.0086635,0.0086635
29,4844.43,0.07183,1.62945,0.87715,0.67318,0.69243,0.74957,0.7454,0.08747,0.87538,0.33832,0.008614,0.008614,0.008614
30,5010.4,0.07079,1.63254,0.87825,0.67976,0.69018,0.75633,0.74967,0.08831,0.84773,0.342,0.0085645,0.0085645,0.0085645
31,5175.45,0.07156,1.60926,0.87871,0.69418,0.69273,0.75447,0.7513,0.08722,0.83968,0.33557,0.008515,0.008515,0.008515
32,5340.99,inf,1.60439,0.87809,0.70914,0.69107,0.76753,0.76382,0.0894,0.82031,0.33832,0.0084655,0.0084655,0.0084655
33,5507.17,0.0683,1.59725,0.87832,0.69171,0.7197,0.7669,0.75972,0.10013,0.81838,0.35401,0.008416,0.008416,0.008416
34,5673.51,0.07006,1.59298,0.87978,0.69601,0.72897,0.77511,0.76999,0.07827,0.78689,0.32918,0.0083665,0.0083665,0.0083665
35,5839.59,0.06647,1.59642,0.87658,0.73778,0.71518,0.78135,0.77789,0.08058,0.76685,0.32344,0.008317,0.008317,0.008317
36,6005.79,0.06842,1.56733,0.87848,0.6929,0.72932,0.77959,0.77549,0.07619,0.76887,0.32509,0.0082675,0.0082675,0.0082675
37,6172.01,0.06752,1.55782,0.87702,0.70333,0.74181,0.78565,0.78206,0.08565,0.76954,0.33546,0.008218,0.008218,0.008218
38,6338.27,0.0674,1.55168,0.87707,0.7086,0.74452,0.78915,0.78416,0.07131,0.75056,0.31814,0.0081685,0.0081685,0.0081685
39,6504.3,0.06793,1.5469,0.87942,0.71595,0.73567,0.7876,0.78419,0.06661,0.75237,0.31458,0.008119,0.008119,0.008119
40,6671.05,0.06496,1.54128,0.87724,0.73581,0.73246,0.79499,0.7917,0.07289,0.73134,0.32071,0.0080695,0.0080695,0.0080695
41,6836.56,0.06585,1.53169,0.87718,0.7444,0.73199,0.7979,0.79519,0.06299,0.72032,0.31021,0.00802,0.00802,0.00802
42,7002.82,0.06586,1.52002,0.87517,0.75431,0.7302,0.80373,0.79984,0.073,0.71378,0.32017,0.0079705,0.0079705,0.0079705
43,7169.11,0.06402,1.52158,0.87755,0.74896,0.73921,0.8064,0.8033,0.07403,0.70773,0.32011,0.007921,0.007921,0.007921
44,7334.98,0.06576,1.51418,0.87592,0.75655,0.73387,0.80412,0.80063,0.07068,0.70931,0.31673,0.0078715,0.0078715,0.0078715
45,7500.6,0.06263,1.50118,0.87492,0.76002,0.74274,0.80784,0.80412,0.07076,0.70386,0.31777,0.007822,0.007822,0.007822
46,7666.91,0.0636,1.50584,0.87516,0.75307,0.74621,0.8077,0.80356,0.06709,0.69986,0.31481,0.0077725,0.0077725,0.0077725
47,7833.37,0.06246,1.50091,0.87528,0.73697,0.75827,0.81087,0.80713,0.06751,0.69664,0.31457,0.007723,0.007723,0.007723
48,7999.64,0.06183,1.49428,0.87593,0.74082,0.75798,0.81182,0.80769,0.06754,0.69327,0.31421,0.0076735,0.0076735,0.0076735
49,8165.51,0.0617,1.47723,0.87753,0.76155,0.74132,0.81339,0.80922,0.06585,0.69109,0.31201,0.007624,0.007624,0.007624
50,8331.94,0.06156,1.48521,0.87596,0.74658,0.75127,0.81529,0.81103,0.06542,0.69032,0.31183,0.0075745,0.0075745,0.0075745
51,8497.46,0.06155,1.46221,0.87519,0.75757,0.74783,0.81741,0.81364,0.06481,0.6878,0.31141,0.007525,0.007525,0.007525
52,8663.14,0.06097,1.47103,0.87672,0.75692,0.75081,0.81912,0.81558,0.06708,0.68373,0.31292,0.0074755,0.0074755,0.0074755
53,8827.87,0.0612,1.44502,0.87533,0.73982,0.76755,0.81973,0.81626,0.06955,0.68125,0.31488,0.007426,0.007426,0.007426
